Make,Model,Fuel,kmpl
Audi,Automatic transmission (2011 Audi A6 Sedan),Gasoline,9.353168
Volkswagen,Automatic transmission (2010 Volkswagen Jetta),Gasoline,11.266316
Volkswagen,Manual transmission (2010 Volkswagen Jetta),Gasoline,11.053744
Volkswagen,Manual transmission (2010 Volkswagen Jetta),Gasoline,15.092612
Toyota,Automatic transmission (2010 Toyota FJ Cruiser),Gasoline,8.290308
Toyota,Manual transmission (2010 Toyota FJ Cruiser),Gasoline,7.227448000000001
Toyota,Automatic transmission (2010 Toyota FJ Cruiser),Gasoline,8.077736
Toyota,Automatic transmission (2011 Toyota Highlander),Gasoline,9.56574
Toyota,Automatic transmission (2011 Toyota Highlander),Gasoline,8.290308
Toyota,Automatic transmission (2011 Toyota Highlander),Gasoline,8.928024
Toyota,Automatic transmission (2010 Toyota Highlander),Gasoline,9.990884000000001
Toyota,Automatic transmission (2010 Toyota Highlander),Gasoline,8.928024
Toyota,Automatic transmission (2010 Toyota Highlander),Gasoline,8.502880000000001
Honda,Automatic transmission (2011 Honda Accord Crosstour Hatchback),Gasoline,9.56574
Honda,Automatic transmission (2011 Honda Accord Crosstour Hatchback),Gasoline,9.353168
Toyota,Automatic transmission (2011 Toyota Land Cruiser),Gasoline,6.589732000000001
Toyota,Automatic transmission (2010 Toyota Land Cruiser),Gasoline,6.589732000000001
Toyota,Manual transmission (2011 Toyota Matrix),Gasoline,12.329176
Toyota,Automatic transmission (2011 Toyota Matrix),Gasoline,12.116604
Toyota,Manual transmission (2011 Toyota Matrix),Gasoline,10.416028
Toyota,Automatic transmission (2011 Toyota Matrix),Gasoline,10.6286
Toyota,Automatic transmission (2011 Toyota Matrix),Gasoline,9.778312
Maybach,Automatic transmission (2010 Maybach 57),Gasoline,5.526872
Maybach,Automatic transmission (2011 Maybach 57),Gasoline,5.526872
Maybach,Automatic transmission (2010 Maybach 62),Gasoline,5.526872
Maybach,Automatic transmission (2011 Maybach 62),Gasoline,5.526872
Maybach,Automatic transmission (2009 Maybach Landaulet),Gasoline,5.526872
Maybach,Automatic transmission (2010 Maybach Landaulet),Gasoline,5.526872
Maybach,Automatic transmission (2011 Maybach Landaulet),Gasoline,5.526872
Toyota,Manual transmission (2010 Toyota Matrix),Gasoline,12.329176
Toyota,Automatic transmission (2010 Toyota Matrix),Gasoline,11.904032
Toyota,Manual transmission (2010 Toyota Matrix),Gasoline,10.416028
Toyota,Automatic transmission (2010 Toyota Matrix),Gasoline,10.6286
Toyota,Automatic transmission (2010 Toyota Matrix),Gasoline,9.778312
Nissan,Automatic transmission (2010 Toyota Matrix),Gasoline,11.904032
Nissan,Automatic transmission (2011 Nissan Armada),Gasoline,6.37716
Nissan,Automatic transmission (2011 Nissan Armada),Gasoline,6.802304
Volkswagen,Manual transmission (2011 Volkswagen Jetta SportWagen),Gasoline,11.904032
Volkswagen,Automatic transmission (2011 Volkswagen Jetta SportWagen),Gasoline,11.691460000000001
Volkswagen,Manual transmission (2011 Volkswagen Jetta SportWagen),Gasoline,15.305184
Chevrolet,Manual transmission (2011 Chevrolet Aveo),Gasoline,13.179464000000001
Chevrolet,Automatic transmission (2011 Chevrolet Aveo),Gasoline,12.541748
Volkswagen,Manual transmission (2010 Volkswagen CC),Gasoline,11.053744
Volkswagen,Automatic transmission (2010 Volkswagen CC),Gasoline,9.56574
Volkswagen,Automatic transmission (2010 Volkswagen CC),Gasoline,8.928024
Audi,Automatic transmission (2011 Audi A6 Sedan),Gasoline,8.502880000000001
Audi,Automatic transmission (2010 Audi A6 Sedan),Gasoline,9.353168
Chevrolet,Manual transmission (2011 Chevrolet Aveo5),Gasoline,13.179464000000001
Chevrolet,Automatic transmission (2011 Chevrolet Aveo5),Gasoline,12.541748
Audi,Automatic transmission (2010 Audi A6 Sedan),Gasoline,8.290308
Audi,Automatic transmission (2011 Audi A6 Avant),Gasoline,9.353168
Audi,Automatic transmission (2010 Audi A6 Avant),Gasoline,9.353168
Audi,Automatic transmission (2012 Audi A7),Gasoline,9.778312
Audi,Automatic transmission (2011 Audi A8),Gasoline,9.353168
Nissan,Automatic transmission (2010 Nissan Armada),Gasoline,6.37716
Audi,Automatic transmission (2010 Audi A8),Gasoline,8.290308
Nissan,Manual transmission (2011 Nissan Cube),Gasoline,11.691460000000001
Nissan,Manual transmission (2010 Nissan Cube),Gasoline,11.691460000000001
Audi,Automatic transmission (2012 Audi Q5),Gasoline,9.990884000000001
Audi,Automatic transmission (2012 Audi Q5),Gasoline,8.715452
Audi,Automatic transmission (2011 Audi Q5),Gasoline,9.990884000000001
Audi,Automatic transmission (2011 Audi Q5),Gasoline,8.715452
Honda,Automatic transmission (2010 Honda Accord Crosstour Hatchback),Gasoline,9.56574
Honda,Automatic transmission (2010 Honda Accord Crosstour Hatchback),Gasoline,8.928024
Audi,Automatic transmission (2010 Audi Q5),Gasoline,8.715452
Audi,Automatic transmission (2009 Audi Q5),Gasoline,8.715452
Honda,Manual transmission (2011 Honda Civic Coup),Gasoline,12.75432
Honda,Automatic transmission (2011 Honda Civic Coup),Gasoline,12.966892000000001
Honda,Manual transmission (2011 Honda Civic Coup),Gasoline,10.6286
Audi,Automatic transmission (2012 Audi Q7),Gasoline,8.077736
Audi,Automatic transmission (2012 Audi Q7),Diesel Fuel,8.928024
Lamborghini,Manual transmission (2010 Lamborghini Gallardo Coupe),Gasoline,6.802304
Chevrolet,Manual transmission (2010 Chevrolet Aveo5),Gasoline,13.179464000000001
Chevrolet,Automatic transmission (2010 Chevrolet Aveo5),Gasoline,12.541748
Lexus,Automatic transmission (2010 Lexus LS),Gasoline,8.502880000000001
Lexus,Automatic transmission (2010 Lexus LS),Gasoline,8.290308
Lamborghini,Manual transmission (2011 Lamborghini Gallardo Coupe),Gasoline,6.802304
Hyundai,Automatic transmission (2012 Hyundai Accent Hatchback),Gasoline,14.880040000000001
Hyundai,Manual transmission (2012 Hyundai Accent Hatchback),Gasoline,14.880040000000001
Lexus,Automatic transmission (2011 Lexus LS),Gasoline,8.502880000000001
Lexus,Automatic transmission (2011 Lexus LS),Gasoline,8.290308
Hyundai,Automatic transmission (2011 Hyundai Accent Hatchback),Gasoline,13.392036000000001
Hyundai,Manual transmission (2011 Hyundai Accent Hatchback),Gasoline,13.179464000000001
Hyundai,Manual transmission (2010 Hyundai Accent Hatchback),Gasoline,13.179464000000001
Hyundai,Automatic transmission (2010 Hyundai Accent Hatchback),Gasoline,13.392036000000001
Hyundai,Manual transmission (2010 Hyundai Accent Hatchback),Gasoline,13.392036000000001
Hyundai,Manual transmission (2012 Hyundai Accent Sedan),Gasoline,14.880040000000001
Hyundai,Automatic transmission (2012 Hyundai Accent Sedan),Gasoline,14.880040000000001
Hyundai,Automatic transmission (2011 Hyundai Accent Sedan),Gasoline,13.392036000000001
Hyundai,Manual transmission (2011 Hyundai Accent Sedan),Gasoline,13.179464000000001
Hyundai,Manual transmission (2010 Hyundai Accent Sedan),Gasoline,13.179464000000001
Hyundai,Automatic transmission (2010 Hyundai Accent Sedan),Gasoline,13.392036000000001
Hyundai,Automatic transmission (2011 Hyundai Azera),Gasoline,10.203456000000001
Hyundai,Automatic transmission (2011 Hyundai Azera),Gasoline,9.778312
Hyundai,Automatic transmission (2010 Hyundai Azera),Gasoline,9.140596
Hyundai,Automatic transmission (2010 Hyundai Azera),Gasoline,9.353168
Audi,Automatic transmission (2011 Audi Q7),Gasoline,8.077736
Audi,Automatic transmission (2011 Audi Q7),Diesel Fuel,8.928024
Audi,Automatic transmission (2010 Audi Q7),Gasoline,7.014876
Audi,Automatic transmission (2010 Audi Q7),Diesel Fuel,8.928024
Audi,Automatic transmission (2010 Audi Q7),Gasoline,6.589732000000001
Toyota,Automatic transmission (2011 Toyota RAV4),Gasoline,10.6286
Toyota,Automatic transmission (2011 Toyota RAV4),Gasoline,10.203456000000001
Toyota,Automatic transmission (2011 Toyota RAV4),Gasoline,9.778312
Toyota,Automatic transmission (2011 Toyota RAV4),Gasoline,9.56574
Nissan,Manual transmission (2009 Nissan Cube),Gasoline,11.266316
Chevrolet,Manual transmission (2012 Chevrolet Camaro Convertible),Gasoline,9.56574
Chevrolet,Automatic transmission (2012 Chevrolet Camaro Convertible),Gasoline,10.416028
Chevrolet,Manual transmission (2012 Chevrolet Camaro Convertible),Gasoline,8.502880000000001
Chevrolet,Automatic transmission (2012 Chevrolet Camaro Convertible),Gasoline,8.290308
Nissan,Manual transmission (2011 Nissan Juke),Gasoline,11.691460000000001
Chevrolet,Manual transmission (2011 Chevrolet Camaro Convertible),Gasoline,9.56574
Chevrolet,Automatic transmission (2011 Chevrolet Camaro Convertible),Gasoline,10.416028
Chevrolet,Manual transmission (2011 Chevrolet Camaro Convertible),Gasoline,8.502880000000001
Chevrolet,Automatic transmission (2011 Chevrolet Camaro Convertible),Gasoline,8.290308
Chevrolet,Automatic transmission (2011 Chevrolet Camaro Convertible),Gasoline,8.715452
Mercedes,Manual transmission (2010 Mercedes-Benz C-Class),Gasoline,9.353168
Mercedes,Automatic transmission (2010 Mercedes-Benz C-Class),Gasoline,9.353168
Mercedes,Automatic transmission (2010 Mercedes-Benz C-Class),Gasoline,8.928024
BMW Motorrad,Automatic transmission (2010 BMW 1 Series Convertible),Gasoline,9.56574
BMW,Manual transmission (2010 BMW 1 Series Convertible),Gasoline,9.140596
BMW,Automatic transmission (2010 BMW 1 Series Convertible),Gasoline,9.140596
BMW Motorrad,Manual transmission (2010 BMW 1 Series Convertible),Gasoline,9.778312
Chevrolet,Manual transmission (2012 Chevrolet Camaro Coupe),Gasoline,9.56574
Chevrolet,Automatic transmission (2012 Chevrolet Camaro Coupe),Gasoline,10.416028
Chevrolet,Manual transmission (2012 Chevrolet Camaro Coupe),Gasoline,8.502880000000001
Chevrolet,Automatic transmission (2012 Chevrolet Camaro Coupe),Gasoline,8.290308
Chevrolet,Automatic transmission (2012 Chevrolet Camaro Coupe),Gasoline,9.990884000000001
Mercedes,Automatic transmission (2010 Mercedes-Benz C-Class),E85,6.802304
Hyundai,Automatic transmission (2012 Hyundai Elantra Sedan),Gasoline,14.667468000000001
Hyundai,Manual transmission (2012 Hyundai Elantra Sedan),Gasoline,14.667468000000001
Hyundai,Automatic transmission (2011 Hyundai Elantra Sedan),Gasoline,14.667468000000001
Hyundai,Manual transmission (2011 Hyundai Elantra Sedan),Gasoline,14.667468000000001
Hyundai,Automatic transmission (2010 Hyundai Elantra Sedan),Gasoline,12.75432
Hyundai,Manual transmission (2010 Hyundai Elantra Sedan),Gasoline,12.541748
Ford,Manual transmission (2012 Ford Fusion),Gasoline,11.478888000000001
Ford,Automatic transmission (2012 Ford Fusion),Gasoline,11.904032
Ford,Automatic transmission (2012 Ford Fusion),Gasoline,10.203456000000001
Ford,Automatic transmission (2012 Ford Fusion),E85,6.802304
Ford,Automatic transmission (2012 Ford Fusion),Gasoline,9.56574
Ford,Automatic transmission (2012 Ford Fusion),Gasoline,8.928024
Volkswagen,Manual transmission (2011 Volkswagen CC),Gasoline,11.053744
Volkswagen,Automatic transmission (2011 Volkswagen CC),Gasoline,11.266316
Ford,Manual transmission (2011 Ford Fusion),Gasoline,10.841172
Ford,Automatic transmission (2011 Ford Fusion),Gasoline,11.904032
Ford,Automatic transmission (2011 Ford Fusion),E85,7.4400200000000005
Ford,Automatic transmission (2011 Ford Fusion),E85,6.802304
Ford,Automatic transmission (2011 Ford Fusion),Gasoline,9.56574
