Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Liberia,Diesel,41.849999999999994,61.52499999999999,81.2,120.55,184.47,138.9,163.65,194.84,92.43,840.0
Liberia,Petrol,47.02,64.24499999999999,81.47,115.92,160.26,119.27,132.94,176.75,84.58,763.33
Lithuania,Diesel,1.02,0.94,1.02,1.15,1.13,0.96,1.16,1.7,1.5,1.48
Lithuania,Petrol,1.14,1.07,1.14,1.22,1.19,1.06,1.28,1.65,1.51,1.48
Luxembourg,Diesel,1.02,0.94,1.0,1.1,1.1,0.99,1.16,1.67,1.49,1.47
Luxembourg,Petrol,1.16,1.09,1.15,1.19,1.18,1.07,1.33,1.65,1.53,1.54
Madagascar,Diesel,2965.5,3070.0,3174.5,3384.83,3462.5,3400.0,3400.0,4025.0,4900.0,4900.0
Madagascar,Petrol,3507.33,3640.0,3772.67,4034.75,4141.67,4100.0,4100.0,4850.0,5900.0,5900.0
Malawi,Diesel,786.46,815.8,925.37,878.55,732.36,941.57,1645.0,2055.67,2734.0,2734.0
Malawi,Petrol,782.16,793.8,819.33,836.85,821.67,801.38,1075.0,1586.33,2127.67,2530.0
Malaysia,Diesel,1.96,1.67,2.05,2.18,2.18,1.83,2.15,2.15,2.15,2.83
Malaysia,Petrol,1.95,1.79,2.13,2.2,2.08,1.68,2.05,2.05,2.05,2.05
Maldives,Diesel,12.2,10.23,9.58,10.74,10.97,9.75,10.59,15.11,14.67,13.91
Maldives,Petrol,11.83,9.75,9.31,10.54,10.51,9.0,10.45,14.94,13.88,13.1
Mali,Diesel,637.0,608.5,642.9316666666667,677.3633333333333,711.795,746.2266666666667,780.6583333333333,815.09,806.58,787.5
Mali,Petrol,730.0,710.0,728.8783333333333,747.7566666666667,766.635,785.5133333333333,804.3916666666667,823.27,852.58,837.5
Malta,Diesel,1.29,1.21,1.18,1.23,1.23,1.21,1.21,1.21,1.21,1.21
Malta,Petrol,1.38,1.29,1.31,1.36,1.41,1.34,1.34,1.34,1.34,1.34
Mauritania,Diesel,39.10000000000001,38.78,38.46,38.46,38.46,38.46,38.46,43.68,51.0,51.0
Mauritania,Petrol,42.78,43.21,43.64,43.64,43.64,43.64,43.64,47.96,54.0,54.0
Mauritius,Diesel,38.3,34.0,33.0,38.29,39.38,36.96,39.04,50.71,56.55,63.25
Mauritius,Petrol,46.03,39.29,41.92,48.58,45.21,44.75,51.13,65.63,69.0,66.2
Mexico,Diesel,17.06,19.36,20.07,18.87,20.42,22.22,22.87,24.48,24.48,24.48
Mexico,Petrol,13.525,14.8175,16.11,18.69,19.52,18.05,20.17,21.66,22.17,23.36
Moldova,Diesel,12.245000000000001,13.61125,14.977500000000001,16.34375,17.710000000000004,17.71,17.71,25.93,21.95,20.86
Moldova,Petrol,17.47,16.51,16.92,18.23,18.66,16.22,20.03,26.75,24.58,24.38
Montenegro,Diesel,1.06,0.96,1.09,1.21,1.19,1.0,1.19,1.54,1.43,1.4
Montenegro,Petrol,1.18,1.1,1.24,1.32,1.29,1.13,1.34,1.52,1.52,1.54
Morocco,Diesel,8.81,8.66,9.5,9.75,9.6,8.76,9.66,13.52,12.72,12.77
Morocco,Petrol,9.85,10.05,10.87,11.08,10.8,9.78,11.39,14.28,14.39,14.6
Mozambique,Diesel,34.42,39.34,51.84,62.88,62.91,59.33,60.84,81.33,88.42,91.23
Mozambique,Petrol,42.82,46.7,56.7,65.86,65.25,62.77,66.28,81.43,86.25,86.0
Namibia,Diesel,9.8,10.3,10.8,12.75,13.39,12.04,13.43,20.6,20.78,21.07
Nepal,Diesel,66.44999999999999,71.28500000000001,76.12,85.79,96.81,90.67,108.22,159.15,164.33,154.92
Nepal,Petrol,90.11999999999999,94.935,99.75,109.38,109.02,104.54,125.22,169.83,174.99,167.08
Netherlands,Diesel,1.23,1.13,1.22,1.34,1.34,1.22,1.43,1.96,1.75,1.74
Netherlands,Petrol,1.6,1.5,1.6,1.68,1.7,1.53,1.83,2.15,1.96,1.98
New Zealand,Diesel,1.11,1.05,1.19,1.48,1.52,1.28,1.47,2.27,2.11,1.99
New Zealand,Petrol,1.9,1.84,1.97,2.23,2.26,2.02,2.37,2.78,2.73,2.7
Nicaragua,Diesel,24.19,23.3,25.86,30.2,30.33,26.96,33.58,42.66,40.16,39.69
Nicaragua,Petrol,28.71,26.65,30.22,34.19,33.47,29.98,39.73,47.78,48.06,47.53
Nigeria,Diesel,133.25,150.0,195.0,207.5,225.0,225.0,285.0,725.0,850.0,1150.0
Nigeria,Petrol,87.0,123.33,145.0,145.0,145.0,137.92,165.0,178.67,404.17,610.0
North Macedonia,Diesel,46.86,48.52,50.18,62.26,61.2,52.0,60.5,88.4,76.54,73.49
North Macedonia,Petrol,64.22,62.13,63.13,69.54,67.62,58.0,69.21,87.67,80.5,80.75
Norway,Diesel,12.78,12.56,13.78,15.22,15.65,14.18,16.51,21.66,20.44,19.98
Norway,Petrol,14.61,14.54,15.22,16.03,16.15,14.63,17.48,22.06,21.82,21.88
Oman,Petrol,0.14,0.16,0.18,0.21,0.2,0.19,0.21,0.23,0.23,0.23
Pakistan,Diesel,83.79,73.59,81.06,97.38,121.24,100.31,107.74,178.34,230.57,215.08
